# Sixth, seventh and eighth virial coefficient of the Lennard-Jones model
# Andrew J. Schultz and David Kofke
# Molecular Physics Vol 107 No. 21 2009 2309-2318
# T      B4           e(B4)       B5            e(B5)
0.60    -1672.91      0.04      -70690         60      
0.62    -1201.03      0.05      -45173          8
0.64     -872.00      0.04      -29395          5
0.66     -639.23      0.03      -19448          4
0.68     -472.56      0.02      -13044          3
0.70     -351.854     0.019      -8860.5        1.8
0.72     -263.486     0.016      -6087.6        1.5
0.74     -198.232     0.012      -4224.1        1.1
0.76     -149.704     0.009      -2955.9        0.8
0.78     -113.279     0.008      -2084.9        0.6
0.80      -85.776     0.007      -1480.4        0.5
0.82      -64.923     0.006      -1056.5        0.4
0.84      -49.002     0.005       -757.5        0.3
0.86      -36.808     0.004       -544.4        0.3
0.88      -27.439     0.004       -392.7        0.2
0.90      -20.221     0.003       -283.74       0.14
0.92      -14.648     0.003       -204.60       0.12
0.94      -10.337     0.002       -147.78       0.10
0.96       -7.013     0.002       -106.07       0.09
0.98       -4.4400    0.0016       -75.90       0.07
1.00       -2.4623    0.0015       -54.12       0.06
1.04        0.2121    0.0013       -26.46       0.05
1.08        1.7420    0.0011       -12.04       0.03
1.12        2.5717    0.0009        -4.73       0.03
1.16        2.9698    0.0008        -1.20       0.02
1.2         3.1062    0.0006         0.338      0.016
1.24        3.0897    0.0006         0.829      0.013
1.28        2.9842    0.0005         0.817      0.012
1.32        2.8320    0.0005         0.567      0.009
1.36        2.6586    0.0004         0.246      0.007
1.4         2.4818    0.0004        -0.050      0.007
1.44        2.3100    0.0003        -0.312      0.006
1.48        2.1477    0.0003        -0.512      0.004
1.52        1.9987    0.0003        -0.663      0.004
1.56        1.8634    0.0002        -0.755      0.003
1.6         1.7429    0.0002        -0.806      0.003
1.64        1.6357    0.0002        -0.818      0.003
1.68        1.54174   0.00016       -0.795      0.002
1.72        1.45908   0.00016       -0.757      0.002
1.76        1.38734   0.00015       -0.6977     0.0018
1.8         1.32578   0.00015       -0.6308     0.0017
1.84        1.27245   0.00013       -0.5491     0.0016
1.88        1.22723   0.00013       -0.4612     0.0013
1.92        1.18857   0.00011       -0.3745     0.0013
1.96        1.15583   0.00011       -0.2816     0.0012
2.0         1.12860   0.00011       -0.1931     0.0011
2.1         1.07958   0.00009        0.0274     0.0009
2.2         1.05172   0.00008        0.2309     0.0007
2.3         1.03839   0.00008        0.4114     0.0006
2.4         1.03532   0.00007        0.5691     0.0005
2.5         1.03936   0.00007        0.7033     0.0005
2.6         1.04794   0.00006        0.8174     0.0004
2.7         1.05950   0.00005        0.9133     0.0004
2.8         1.07261   0.00005        0.9928     0.0003
2.9         1.08647   0.00005        1.0592     0.0003
3.0         1.10073   0.00005        1.1145     0.0003
3.1         1.11459   0.00005        1.1581     0.0003
3.2         1.12795   0.00004        1.1939     0.0002
3.3         1.14063   0.00004        1.2217     0.0002
3.4         1.15247   0.00004        1.2436     0.0002
3.5         1.16347   0.00004        1.2598     0.0002
3.6         1.17354   0.00004        1.2720     0.0002
3.7         1.18266   0.00004        1.27990    0.00017
3.8         1.19087   0.00004        1.28470    0.00017
3.9         1.19815   0.00004        1.28650    0.00016
4.0         1.20466   0.00004        1.28580    0.00016
4.2         1.21527   0.00003        1.27960    0.00015
4.4         1.22293   0.00004        1.26740    0.00013
4.6         1.22812   0.00003        1.25130    0.00013
4.8         1.23112   0.00003        1.23260    0.00012
5.0         1.23219   0.00003        1.21170    0.00012
5.2         1.23167   0.00003        1.18970    0.00011
5.4         1.22980   0.00003        1.16730    0.00011
5.6         1.22668   0.00003        1.14430    0.00010
5.8         1.22273   0.00003        1.12140    0.00010
6.0         1.21773   0.00003        1.09880    0.00010
6.5         1.20273   0.00002        1.04340    0.00009
7.0         1.18489   0.00003        0.99123    0.00008
7.5         1.16532   0.00002        0.94237    0.00007
8.0         1.14485   0.00002        0.89740    0.00007
8.5         1.12400   0.00002        0.85582    0.00007
9.0         1.10302   0.00002        0.81749    0.00006
9.5         1.08229   0.00002        0.78210    0.00006
10.0        1.06189   0.00002        0.74932    0.00006
11.0        1.02255   0.00002        0.69119    0.00005
12.0        0.985529  0.000017       0.64088    0.00005
13.0        0.950873  0.000019       0.59710    0.00004
14.0        0.918443  0.000017       0.55886    0.00004
15.0        0.888274  0.000018       0.52512    0.00004
16.0        0.860174  0.000016       0.49517    0.00004
17.0        0.833869  0.000016       0.46827    0.00003
18.0        0.809325  0.000016       0.44420    0.00003
19.0        0.786339  0.000016       0.42243    0.00003
20.0        0.764792  0.000016       0.40271    0.00003
22.0        0.725565  0.000016       0.36827    0.00003
24.0        0.690637  0.000015       0.33918    0.00003
26.0        0.659456  0.000014       0.31436    0.00002
28.0        0.631359  0.000014       0.29285    0.00002
30.0        0.605982  0.000013       0.27410    0.00002
32.0        0.582849  0.000013       0.257610   0.000018
34.0        0.561717  0.000013       0.242980   0.000018
36.0        0.542336  0.000013       0.229930   0.000017
38.0        0.524464  0.000012       0.218240   0.000017
40.0        0.507951  0.000012       0.207610   0.000015
50.0        0.440810  0.000013       0.167020   0.000010
100.0       0.278222  0.000011       0.084366   0.000007
500.0       0.0894448 0.000009
