# Mayer Sampling Monte Carlo calculation of virial coefficients on graphics processors
# Andrew J. Schultz, Nathaniel S. Barlow, Vipin Chaudhary and David A. Kofke
# Molecular Physics Vol 111 No. 4  2013  535-543
# T      B7         e(B7)
0.6     -2.13e8     0.03e8
0.64    -5.44e7     0.08e7
0.68    -1.51e7     0.02e7
0.72    -4.78e6     0.07e6
0.76    -1.62e6     0.03e6
0.8     -5.87e5     0.10e5
0.84    -2.13e5     0.04e5
0.88    -8.6e4      0.2e4
0.92    -3.34e4     0.10e4
0.96    -1.41e4     0.05e4
1.00    -5.4e3      0.2e3
1.04    -2.28e3     0.12e3
1.08    -880        80
1.12    -260        50
1.16    -160        30
1.2      -60        20
1.24     -12         5
#1.28      -0.5       1.1
1.32       3.8       1.4
#1.36       1.7       1.4
#1.44      -0.3       0.4
1.52       4.4       1.6
1.6        2.5       1.0
1.68       4.8       0.7
1.76       5.6       0.4
1.84       5.3       0.3
1.92       5.2       0.2
2          5.5       0.2
2.2        4.37      0.11
2.4        3.50      0.06
2.6        2.74      0.04
2.8        2.20      0.02
3.0        1.768     0.015
3.2        1.441     0.011
3.4        1.193     0.008
3.6        1.003     0.006
4          0.842     0.005
4.4        0.555     0.002
5.2        0.3507    0.0013
6          0.2437    0.0008
8          0.1201    0.0003
10         0.06982   0.00019
14         0.03187   0.00008
24         0.00962   0.00003
40         0.003448  0.000012
